mixture,method,stable_pair_precision,stable_pair_recall,topk_precision,topk_recall,set_size
source_mix,marginal_bt,0.9333333333333333,1.0,1.0,1.0,3.0
source_mix,source_contextual_bt,0.9333333333333333,1.0,1.0,1.0,3.0
source_mix,fixed_target_contextual_bt,0.9333333333333333,1.0,1.0,1.0,3.0
source_mix,fixed_target_ci_certified_bt,1.0,1.0,1.0,1.0,3.0
source_mix,ss_cbt,1.0,1.0,1.0,1.0,3.0
balanced,marginal_bt,0.9333333333333333,1.0,1.0,1.0,3.0
balanced,source_contextual_bt,0.9333333333333333,1.0,1.0,1.0,3.0
balanced,fixed_target_contextual_bt,0.9333333333333333,1.0,1.0,1.0,3.0
balanced,fixed_target_ci_certified_bt,1.0,1.0,1.0,1.0,3.0
balanced,ss_cbt,1.0,1.0,1.0,1.0,3.0
coding_heavy,marginal_bt,0.9333333333333333,1.0,1.0,1.0,3.0
coding_heavy,source_contextual_bt,0.9333333333333333,1.0,1.0,1.0,3.0
coding_heavy,fixed_target_contextual_bt,0.9333333333333333,1.0,1.0,1.0,3.0
coding_heavy,fixed_target_ci_certified_bt,1.0,1.0,1.0,1.0,3.0
coding_heavy,ss_cbt,1.0,1.0,1.0,1.0,3.0
writing_heavy,marginal_bt,0.9333333333333333,1.0,1.0,1.0,3.0
writing_heavy,source_contextual_bt,0.9333333333333333,1.0,1.0,1.0,3.0
writing_heavy,fixed_target_contextual_bt,0.9333333333333333,1.0,1.0,1.0,3.0
writing_heavy,fixed_target_ci_certified_bt,0.9333333333333333,1.0,1.0,1.0,3.0
writing_heavy,ss_cbt,0.9333333333333333,1.0,1.0,1.0,3.0
