mixture,model_i,model_j,fixed_contrast,robust_lower,robust_upper,stable_order
source_mix,alpaca-13b,claude-v1,-2.2529049861087325,-2.5177669518106978,-2.023582247982618,1
source_mix,alpaca-13b,gpt-3.5-turbo,-2.1181448490105765,-2.5053592898597516,-1.828870494623192,1
source_mix,alpaca-13b,gpt-4,-2.6820243767869316,-3.029472647974245,-2.3967615976329864,1
source_mix,alpaca-13b,llama-13b,0.9809744014704633,0.6735583676289878,1.2745297371219426,1
source_mix,alpaca-13b,vicuna-13b-v1.2,-1.1213346344299109,-1.3184409629487805,-0.9159226642526458,1
source_mix,claude-v1,gpt-3.5-turbo,0.13476013709815587,-0.024287135045295616,0.2501001653859184,0
source_mix,claude-v1,gpt-4,-0.42911939067819915,-0.5683576483481754,-0.2992455185297319,1
source_mix,claude-v1,llama-13b,3.2338793875791962,3.0266530668203613,3.469326731434847,1
source_mix,claude-v1,vicuna-13b-v1.2,1.1315703516788216,1.035197769531127,1.229904593909536,1
source_mix,gpt-3.5-turbo,gpt-4,-0.5638795277763551,-0.7216525407343657,-0.3994476176890706,1
source_mix,gpt-3.5-turbo,llama-13b,3.0991192504810394,2.8554803903312886,3.362218249567989,1
source_mix,gpt-3.5-turbo,vicuna-13b-v1.2,0.9968102145806657,0.8089654001439195,1.2282982149860482,1
source_mix,gpt-4,llama-13b,3.662998778257395,3.424432515360355,3.9036920273448574,1
source_mix,gpt-4,vicuna-13b-v1.2,1.5606897423570207,1.3772757357229752,1.7539464522163863,1
source_mix,llama-13b,vicuna-13b-v1.2,-2.102309035900374,-2.3258898588455263,-1.9115893319372672,1
balanced,alpaca-13b,claude-v1,-2.2453988708229367,-2.5177599227317424,-2.0012219969265086,1
balanced,alpaca-13b,gpt-3.5-turbo,-2.1357851610788696,-2.534314375183215,-1.815591982493126,1
balanced,alpaca-13b,gpt-4,-2.677918006739694,-3.0269146156501465,-2.379060516146764,1
balanced,alpaca-13b,llama-13b,0.9940107741337691,0.679772838981119,1.3009456974217077,1
balanced,alpaca-13b,vicuna-13b-v1.2,-1.083243373338221,-1.2903352495950304,-0.868729760294376,1
balanced,claude-v1,gpt-3.5-turbo,0.10961370974406717,-0.04908704517503518,0.23354921659518196,0
balanced,claude-v1,gpt-4,-0.4325191359167576,-0.5717890091196562,-0.3004341002631829,1
balanced,claude-v1,llama-13b,3.239409644956706,3.0280499295435366,3.4703373276670306,1
balanced,claude-v1,vicuna-13b-v1.2,1.162155497484716,1.0655108859138747,1.2600399014642403,1
balanced,gpt-3.5-turbo,gpt-4,-0.5421328456608248,-0.7019533739289624,-0.38096164938272403,1
balanced,gpt-3.5-turbo,llama-13b,3.1297959352126385,2.882933222120387,3.39299659299699,1
balanced,gpt-3.5-turbo,vicuna-13b-v1.2,1.0525417877406484,0.855411515178284,1.2823260007893496,1
balanced,gpt-4,llama-13b,3.6719287808734635,3.436263227397382,3.9127226524245007,1
balanced,gpt-4,vicuna-13b-v1.2,1.5946746334014734,1.4085588937720634,1.7884484195268477,1
balanced,llama-13b,vicuna-13b-v1.2,-2.07725414747199,-2.3008669594415596,-1.8822537524694105,1
